,date,dog
0,2022-01-01,70
1,2022-01-02,72
2,2022-01-03,64
3,2022-01-04,59
4,2022-01-05,60
5,2022-01-06,54
6,2022-01-07,64
7,2022-01-08,74
8,2022-01-09,72
9,2022-01-10,59
10,2022-01-11,61
11,2022-01-12,64
12,2022-01-13,62
13,2022-01-14,59
14,2022-01-15,72
15,2022-01-16,70
16,2022-01-17,60
17,2022-01-18,52
18,2022-01-19,55
19,2022-01-20,59
20,2022-01-21,63
21,2022-01-22,70
22,2022-01-23,69
23,2022-01-24,59
24,2022-01-25,54
25,2022-01-26,56
26,2022-01-27,56
27,2022-01-28,61
28,2022-01-29,73
29,2022-01-30,71
30,2022-01-31,61
31,2022-02-01,60
32,2022-02-02,60
33,2022-02-03,60
34,2022-02-04,60
35,2022-02-05,72
36,2022-02-06,73
37,2022-02-07,62
38,2022-02-08,72
39,2022-02-09,66
40,2022-02-10,56
41,2022-02-11,63
42,2022-02-12,75
43,2022-02-13,69
44,2022-02-14,65
45,2022-02-15,64
46,2022-02-16,63
47,2022-02-17,65
48,2022-02-18,67
49,2022-02-19,81
50,2022-02-20,77
51,2022-02-21,70
52,2022-02-22,64
53,2022-02-23,63
54,2022-02-24,57
55,2022-02-25,60
56,2022-02-26,72
57,2022-02-27,77
58,2022-02-28,60
59,2022-03-01,59
60,2022-03-02,61
61,2022-03-03,62
62,2022-03-04,64
63,2022-03-05,77
64,2022-03-06,76
65,2022-03-07,61
66,2022-03-08,61
67,2022-03-09,61
68,2022-03-10,61
69,2022-03-11,63
70,2022-03-12,74
71,2022-03-13,76
72,2022-03-14,64
73,2022-03-15,64
74,2022-03-16,65
75,2022-03-17,60
76,2022-03-18,66
77,2022-03-19,78
78,2022-03-20,78
79,2022-03-21,65
80,2022-03-22,64
81,2022-03-23,64
82,2022-03-24,63
83,2022-03-25,64
84,2022-03-26,74
85,2022-03-27,79
86,2022-03-28,64
87,2022-03-29,62
88,2022-03-30,63
89,2022-03-31,61
90,2022-04-01,62
91,2022-04-02,74
92,2022-04-03,74
93,2022-04-04,58
94,2022-04-05,59
95,2022-04-06,59
96,2022-04-07,63
97,2022-04-08,64
98,2022-04-09,72
99,2022-04-10,71
100,2022-04-11,59
101,2022-04-12,57
102,2022-04-13,59
103,2022-04-14,63
104,2022-04-15,65
105,2022-04-16,71
106,2022-04-17,72
107,2022-04-18,59
108,2022-04-19,61
109,2022-04-20,63
110,2022-04-21,62
111,2022-04-22,67
112,2022-04-23,76
113,2022-04-24,74
114,2022-04-25,61
115,2022-04-26,60
116,2022-04-27,59
117,2022-04-28,57
118,2022-04-29,58
119,2022-04-30,70
120,2022-05-01,77
121,2022-05-02,60
122,2022-05-03,59
123,2022-05-04,58
124,2022-05-05,58
125,2022-05-06,59
126,2022-05-07,69
127,2022-05-08,72
128,2022-05-09,57
129,2022-05-10,60
130,2022-05-11,62
131,2022-05-12,62
132,2022-05-13,60
133,2022-05-14,70
134,2022-05-15,71
135,2022-05-16,65
136,2022-05-17,63
137,2022-05-18,62
138,2022-05-19,65
139,2022-05-20,61
140,2022-05-21,71
141,2022-05-22,73
142,2022-05-23,60
143,2022-05-24,59
144,2022-05-25,57
145,2022-05-26,61
146,2022-05-27,63
147,2022-05-28,69
148,2022-05-29,76
149,2022-05-30,74
150,2022-05-31,63
151,2022-06-01,61
152,2022-06-02,59
153,2022-06-03,60
154,2022-06-04,74
155,2022-06-05,76
156,2022-06-06,62
157,2022-06-07,63
158,2022-06-08,64
159,2022-06-09,64
160,2022-06-10,65
161,2022-06-11,74
162,2022-06-12,76
163,2022-06-13,68
164,2022-06-14,63
165,2022-06-15,65
166,2022-06-16,63
167,2022-06-17,66
168,2022-06-18,73
169,2022-06-19,75
170,2022-06-20,65
171,2022-06-21,67
172,2022-06-22,68
173,2022-06-23,74
174,2022-06-24,66
175,2022-06-25,74
176,2022-06-26,80
177,2022-06-27,70
178,2022-06-28,68
179,2022-06-29,67
180,2022-06-30,66
181,2022-07-01,67
182,2022-07-02,78
183,2022-07-03,82
184,2022-07-04,100
185,2022-07-05,73
186,2022-07-06,69
187,2022-07-07,66
188,2022-07-08,66
189,2022-07-09,76
190,2022-07-10,79
191,2022-07-11,67
192,2022-07-12,65
193,2022-07-13,66
194,2022-07-14,68
195,2022-07-15,66
196,2022-07-16,76
197,2022-07-17,77
198,2022-07-18,62
199,2022-07-19,66
200,2022-07-20,68
201,2022-07-21,69
202,2022-07-22,67
203,2022-07-23,76
204,2022-07-24,76
205,2022-07-25,67
206,2022-07-26,66
207,2022-07-27,64
208,2022-07-28,65
209,2022-07-29,69
210,2022-07-30,72
211,2022-07-31,77
212,2022-08-01,64
213,2022-08-02,64
214,2022-08-03,67
215,2022-08-04,64
216,2022-08-05,66
217,2022-08-06,75
218,2022-08-07,80
219,2022-08-08,67
220,2022-08-09,65
221,2022-08-10,67
222,2022-08-11,65
223,2022-08-12,66
224,2022-08-13,77
225,2022-08-14,78
226,2022-08-15,66
227,2022-08-16,63
228,2022-08-17,62
229,2022-08-18,62
230,2022-08-19,63
231,2022-08-20,71
232,2022-08-21,78
233,2022-08-22,63
234,2022-08-23,61
235,2022-08-24,63
236,2022-08-25,62
237,2022-08-26,78
238,2022-08-27,80
239,2022-08-28,74
240,2022-08-29,62
241,2022-08-30,58
242,2022-08-31,58
243,2022-09-01,59
244,2022-09-02,62
245,2022-09-03,68
246,2022-09-04,75
247,2022-09-05,71
248,2022-09-06,58
249,2022-09-07,57
250,2022-09-08,58
251,2022-09-08,80
252,2022-09-09,78
253,2022-09-10,91
254,2022-09-11,94
255,2022-09-12,83
256,2022-09-13,80
257,2022-09-14,80
258,2022-09-15,81
259,2022-09-16,84
260,2022-09-17,95
261,2022-09-18,92
262,2022-09-19,81
263,2022-09-20,77
264,2022-09-21,79
265,2022-09-22,80
266,2022-09-23,84
267,2022-09-24,92
268,2022-09-25,94
269,2022-09-26,83
270,2022-09-27,81
271,2022-09-28,79
272,2022-09-29,78
273,2022-09-30,78
274,2022-10-01,90
275,2022-10-02,94
276,2022-10-03,78
277,2022-10-04,80
278,2022-10-05,79
279,2022-10-06,86
280,2022-10-07,87
281,2022-10-08,98
282,2022-10-09,100
283,2022-10-10,87
284,2022-10-11,78
285,2022-10-12,81
286,2022-10-13,84
287,2022-10-14,83
288,2022-10-15,94
289,2022-10-16,92
290,2022-10-17,82
291,2022-10-18,84
292,2022-10-19,85
293,2022-10-20,80
294,2022-10-21,82
295,2022-10-22,97
296,2022-10-23,93
297,2022-10-24,79
298,2022-10-25,79
299,2022-10-26,85
300,2022-10-27,76
301,2022-10-28,79
302,2022-10-29,93
303,2022-10-30,91
304,2022-10-31,80
305,2022-11-01,76
306,2022-11-02,76
307,2022-11-03,78
308,2022-11-04,81
309,2022-11-05,88
310,2022-11-06,90
311,2022-11-07,76
312,2022-11-08,75
313,2022-11-09,69
314,2022-11-10,72
315,2022-11-11,82
316,2022-11-12,90
317,2022-11-13,95
318,2022-11-14,78
